Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,98%
POST,/auth,9210,0,220.0,453.6396746580793,156.44359998987056,3719.814599986421,27.0,301.6522811251584,0.0,2900
POST,/booking,9079,0,940.0,976.1215731579999,296.15139999077655,1734.2364999931306,200.00881154312148,297.3616786466138,0.0,1400
DELETE,/booking/1000,1,0,781.8751999875531,781.8751999875531,781.8751999875531,781.8751999875531,7.0,0.03275269067591297,0.0,780
DELETE,/booking/1001,1,0,783.3882000122685,783.3882000122685,783.3882000122685,783.3882000122685,7.0,0.03275269067591297,0.0,780
DELETE,/booking/1002,1,0,787.9522999865003,787.9522999865003,787.9522999865003,787.9522999865003,7.0,0.03275269067591297,0.0,790
DELETE,/booking/1003,1,0,770.3458000032697,770.3458000032697,770.3458000032697,770.3458000032697,7.0,0.03275269067591297,0.0,770
DELETE,/booking/1004,1,0,783.6618000001181,783.6618000001181,783.6618000001181,783.6618000001181,7.0,0.03275269067591297,0.0,780
DELETE,/booking/1005,1,0,785.4534000216518,785.4534000216518,785.4534000216518,785.4534000216518,7.0,0.03275269067591297,0.0,790
DELETE,/booking/1006,1,0,788.7804000056349,788.7804000056349,788.7804000056349,788.7804000056349,7.0,0.03275269067591297,0.0,790
DELETE,/booking/1007,1,0,821.0810000018682,821.0810000018682,821.0810000018682,821.0810000018682,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1008,1,0,820.5391000083182,820.5391000083182,820.5391000083182,820.5391000083182,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1009,1,0,805.9315999853425,805.9315999853425,805.9315999853425,805.9315999853425,7.0,0.03275269067591297,0.0,810
DELETE,/booking/1010,1,0,819.3670999899041,819.3670999899041,819.3670999899041,819.3670999899041,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1011,1,0,824.4128000224009,824.4128000224009,824.4128000224009,824.4128000224009,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1012,1,0,823.1445999990683,823.1445999990683,823.1445999990683,823.1445999990683,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1013,1,0,1469.2439000064041,1469.2439000064041,1469.2439000064041,1469.2439000064041,7.0,0.03275269067591297,0.0,1500
DELETE,/booking/1014,1,0,1472.224199998891,1472.224199998891,1472.224199998891,1472.224199998891,7.0,0.03275269067591297,0.0,1500
DELETE,/booking/1015,1,0,1469.4344000017736,1469.4344000017736,1469.4344000017736,1469.4344000017736,7.0,0.03275269067591297,0.0,1500
DELETE,/booking/1016,1,0,821.7605999961961,821.7605999961961,821.7605999961961,821.7605999961961,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1017,1,0,818.7144999974407,818.7144999974407,818.7144999974407,818.7144999974407,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1019,1,0,837.0781000121497,837.0781000121497,837.0781000121497,837.0781000121497,7.0,0.03275269067591297,0.0,840
DELETE,/booking/1020,1,0,794.8145999980625,794.8145999980625,794.8145999980625,794.8145999980625,7.0,0.03275269067591297,0.0,790
DELETE,/booking/1021,1,0,796.7468999850098,796.7468999850098,796.7468999850098,796.7468999850098,7.0,0.03275269067591297,0.0,800
DELETE,/booking/1022,1,0,797.660200012615,797.660200012615,797.660200012615,797.660200012615,7.0,0.03275269067591297,0.0,800
DELETE,/booking/1023,1,0,813.9947000017855,813.9947000017855,813.9947000017855,813.9947000017855,7.0,0.03275269067591297,0.0,810
DELETE,/booking/1024,1,0,801.4597999863327,801.4597999863327,801.4597999863327,801.4597999863327,7.0,0.03275269067591297,0.0,800
DELETE,/booking/1025,1,0,814.5752999989782,814.5752999989782,814.5752999989782,814.5752999989782,7.0,0.03275269067591297,0.0,810
DELETE,/booking/1026,1,0,822.6788000029046,822.6788000029046,822.6788000029046,822.6788000029046,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1027,1,0,814.222700020764,814.222700020764,814.222700020764,814.222700020764,7.0,0.03275269067591297,0.0,810
DELETE,/booking/1028,1,0,822.9336999938823,822.9336999938823,822.9336999938823,822.9336999938823,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1029,1,0,795.6249999988358,795.6249999988358,795.6249999988358,795.6249999988358,7.0,0.03275269067591297,0.0,800
DELETE,/booking/1030,1,0,822.8095000085887,822.8095000085887,822.8095000085887,822.8095000085887,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1031,1,0,822.0869000069797,822.0869000069797,822.0869000069797,822.0869000069797,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1032,1,0,820.8864000043832,820.8864000043832,820.8864000043832,820.8864000043832,7.0,0.03275269067591297,0.0,820
