Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/booking/3240,1,0,164.92229999857955,164.92229999857955,164.92229999857955,164.92229999857955,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3241,1,0,180.33809997723438,180.33809997723438,180.33809997723438,180.33809997723438,7.0,0.03334331201792287,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/booking/3242,1,0,173.4338999958709,173.4338999958709,173.4338999958709,173.4338999958709,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3243,1,0,168.51419999147765,168.51419999147765,168.51419999147765,168.51419999147765,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3244,1,0,183.03549999836832,183.03549999836832,183.03549999836832,183.03549999836832,7.0,0.03334331201792287,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/booking/3245,1,0,176.03249999228865,176.03249999228865,176.03249999228865,176.03249999228865,7.0,0.03334331201792287,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/booking/3246,1,0,173.03930001799017,173.03930001799017,173.03930001799017,173.03930001799017,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3250,1,0,167.86630000569858,167.86630000569858,167.86630000569858,167.86630000569858,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3251,1,0,163.83870001300238,163.83870001300238,163.83870001300238,163.83870001300238,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3252,1,0,169.46760000428185,169.46760000428185,169.46760000428185,169.46760000428185,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3253,1,0,172.01999999815598,172.01999999815598,172.01999999815598,172.01999999815598,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3254,1,0,169.44910000893287,169.44910000893287,169.44910000893287,169.44910000893287,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3255,1,0,170.37020000861958,170.37020000861958,170.37020000861958,170.37020000861958,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3256,1,0,171.46579999825917,171.46579999825917,171.46579999825917,171.46579999825917,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3257,1,0,173.99499999010004,173.99499999010004,173.99499999010004,173.99499999010004,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3258,1,0,171.6417999996338,171.6417999996338,171.6417999996338,171.6417999996338,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3259,1,0,170.847400004277,170.847400004277,170.847400004277,170.847400004277,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3265,1,0,163.01399999065325,163.01399999065325,163.01399999065325,163.01399999065325,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3266,1,0,160.69670001161285,160.69670001161285,160.69670001161285,160.69670001161285,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3267,1,0,167.39280000911094,167.39280000911094,167.39280000911094,167.39280000911094,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
